"12 Aug 2011 18:17:47","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      20","(Notice) Undefined index:  email"
"12 Aug 2011 18:18:17","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) Undefined index:  email"
"12 Aug 2011 18:18:17","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      61","(Notice) Undefined variable: _SESSION"
"12 Aug 2011 18:18:17","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      20","(Notice) Undefined variable: _SESSION"
"12 Aug 2011 18:19:05","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) Undefined index:  email"
"12 Aug 2011 18:19:59","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) Undefined index:  email"
"12 Aug 2011 18:20:09","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) Undefined index:  email"
"12 Aug 2011 18:20:59","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      18","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:20:59","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:21:54","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      18","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:21:54","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:22:03","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      18","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:22:03","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:24:25","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      18","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:24:25","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:24:29","/homepages/36/d378030953/htdocs/school/application/controllers/UserController.php:
      86","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:24:35","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      18","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:24:35","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:24:49","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      45","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:27:28","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:27:32","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:27:46","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      18","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:27:46","/homepages/36/d378030953/htdocs/school/application/models/User.php:
      60","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:41:02","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      18","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:41:34","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      18","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:41:36","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      18","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:41:42","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      18","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:41:47","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      18","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:56:19","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      18","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 18:57:16","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      18","(Notice) A session had already been started - ignoring session_start()"
"12 Aug 2011 19:02:09","/homepages/36/d378030953/htdocs/school/application/controllers/ProjectsController.php:
      18","(Notice) A session had already been started - ignoring session_start()"
